cpt_code,description,NON_FACILITY_PRICE,FACILITY_PRICE
0467T,Revj/rplmnt ch respir eltrd,0.0,299.52
0468T,Rmvl ch wal respir eltrd/ra,0.0,299.52
0469T,Rta polarize scan oc scr bi,0.0,299.52
0470T,Oct skn img acquisj i&r 1st,0.0,33.28
0471T,Oct skn img acquisj i&r addl,0.0,33.28
0472T,Prgrmg io rta eltrd ra,0.0,299.52
0473T,Reprgrmg io rta eltrd ra,0.0,299.52
0474T,Insj aqueous drg dev io rsvr,0.0,299.52
0475T,Rec ftl car sgl 3 ch i&r,0.0,299.52
0476T,Rec ftl car sgl elec tr data,0.0,299.52
0477T,Rec ftl car sgl xrtj alys,0.0,299.52
0478T,Rec ftl car 3 ch rev i&r,0.0,299.52
0479T,Fxjl abl lsr 1st 100 sq cm,0.0,0.0
0480T,Fxjl abl lsr ea addl 100sqcm,0.0,299.52
0481T,Njx autol wbc concentrate,0.0,299.52
0483T,Tmvi percutaneous approach,0.0,0.0
0484T,Tmvi transthoracic exposure,0.0,0.0
